Clinic Name,Street Address,City,State,ZIP Code,X,Y,Last Updated,Clinic Website,Phone Number,Volume Ordered,Order Date,Federal Allocation,Open Data Link
15toknow,250 Mall Blvd,King of Prussia,Pennsylvania,19406,-75.391079,40.090913,4/13/2021,https://15toknow.com/,800-741-0457,1170,4/9/2021,No,
Abington Jefferson Health,1200 Old York Road,Abington,Pennsylvania,19001,-75.119458,40.118986,4/13/2021,https://jefferson.co1.qualtrics.com/jfe/form/SV_eaFnRURFGL4npsx?utm_source=cv19banner,,1200,4/9/2021,No,
Adams County-WellSpan Health Joint Community COVID-19 Vaccination Site,230 Greenamyer Lane,Gettysburg,Pennsylvania,17325,-77.155127,39.862756,4/13/2021,http://www.adamscounty.us/Pages/ACCommunityVaccinationCenter.aspx,855-851-3641,,,No,
Adams Cumberland Pharmacy-Biglerville,3463 Biglerville Rd,Biglerville,Pennsylvania,17307,-77.24821,39.924907,4/13/2021,https://covid-19schedulinglink.as.me/vaccine,717-323-8230,1000,4/9/2021,No,
AHN FORBES HOSPITAL,PHARMACY,MONROEVILLE,PENNSYLVANIA,15146,-79.751166,40.428419,4/13/2021,https://www.ahn.org/coronavirus.html,,1170,4/9/2021,No,
AHN-Allegheny General Hospital,320 East North Avenue,Pittsburgh,Pennsylvania,15212,-80.003274,40.456215,4/13/2021,https://www.ahn.org/coronavirus.html,1-412-624-2100,3510,4/9/2021,No,
AHN-Allegheny Valley Hospital,1301 Carlisle Street,Natrona Heights,Pennsylvania,15065,-79.737377,40.617348,4/13/2021,https://www.ahn.org/coronavirus.html,1-412-362-8677,1170,4/9/2021,No,
AHN-Canonsburg Hospital,100 Medical Blvd,Canonsburg,Pennsylvania,15317,-80.190058,40.24882,4/13/2021,https://www.ahn.org/coronavirus.html,1-724-745-6100,1170,4/9/2021,No,
AHN-Jefferson Regional Hospital,Pharmacy Department,Jefferson Hills,Pennsylvania,15025,-79.903068,40.2912721,4/13/2021,https://www.ahn.org/coronavirus.html,1-412-469-5000,1170,4/9/2021,No,
AHN-Saint Vincent Hospital,PHARMACY DEPARTMENT,Erie,Pennsylvania,16544,-80.080053,42.11074,4/13/2021,https://www.ahn.org/coronavirus.html,,2340,4/9/2021,No,
AHN-WEST PENN HOSPITAL,PHARMACY DEPARTMENT,PITTSBURGH,PENNSYLVANIA,15224,-79.946843,40.462383,4/13/2021,https://www.ahn.org/coronavirus.html,412-687-7348,1370,4/9/2021,No,
